Tabela 2094 - População residente por cor ou raça e religião;;;;;;;
Variável - População residente (Pessoas);;;;;;;
Religião - Total;;;;;;;
Ano - 2010;;;;;;;
Brasil, Grande Região e Unidade da Federação;Cor ou raça;;;;;;
;Total;Branca;Preta;Amarela;Parda;Indígena;Sem declaração
Brasil;190755799;90621281;14351162;2105353;82820452;821501;36051
Norte;15864454;3686144;1033504;176721;10659535;305152;3398
Nordeste;53081950;15488292;5013783;631563;31731631;209457;7224
Sudeste;80364410;44152518;6281663;902731;28904271;101295;21931
Sul;27386891;21456204;1095307;185595;4573620;75182;984
Centro-Oeste;14058094;5838123;926905;208743;6951395;130414;2514
Rondônia;1562409;546534;106324;22643;871401;13620;1886
Acre;733559;171257;41547;14404;490507;15704;139
Amazonas;3483985;739114;142564;31837;2403294;167122;55
Roraima;450479;94146;27168;4338;274441;50385;-
Pará;7581051;1637544;533848;69412;5300812;38134;1302
Amapá;669526;159161;56205;7050;439762;7344;3
Tocantins;1383445;338388;125847;27036;879318;12843;13
Maranhão;6574789;1437656;632138;74265;4396274;34339;117
Piauí;3118360;755485;289692;66163;2003658;3362;-
Ceará;8452381;2674841;385207;103879;5268305;19987;162
Rio Grande do Norte;3168027;1293931;165807;33857;1671286;2788;358
Paraíba;3766528;1494248;211359;46631;1994319;19490;482
Pernambuco;8796448;3209058;563764;83569;4886026;53654;377
Alagoas;3120494;968288;206030;35183;1897214;13773;7
Sergipe;2068017;573856;183345;26515;1278633;5322;346
Bahia;14016906;3080929;2376441;161502;8335917;56742;5375
Minas Gerais;19597330;8830978;1807526;187869;8736860;31601;2496
Espírito Santo;3514952;1478367;292520;22159;1712167;9637;101
Rio de Janeiro;15989929;7579023;1937291;122552;6332408;15258;3397
São Paulo;41262199;26264150;2244326;570150;12122836;44800;15937
Paraná;10444526;7317309;328949;124279;2647895;25787;307
Santa Catarina;6248436;5239538;178469;25726;787902;16242;559
Rio Grande do Sul;10693929;8899357;587888;35590;1137823;33153;118
Mato Grosso do Sul;2449024;1147284;119442;29433;1080641;72102;122
Mato Grosso;3035122;1128086;225627;35834;1601177;43226;1172
Goiás;6003788;2487674;387673;100797;3019262;8016;366
Distrito Federal;2570160;1075079;194163;42679;1250315;7070;854
Fonte: IBGE - Censo Demográfico;;;;;;;
